,INQ_YMD,YEAR,MONTH,DAY,PDLT_NM,NMYR_RATE,WHSL_DAIL_PRCE,WHSL_BFRT_PRCE,RTSL_BFRT_PRCE,RTSL_DAIL_PRCE
52547,20161121,2016,11,21,¸¶´Ã,34.228,7400.0,7400.0,10053.0,10131.0
52554,20161122,2016,11,22,¸¶´Ã,34.228,7400.0,7400.0,10131.0,10087.0
52563,20160727,2016,7,27,¸¶´Ã,31.129,6900.0,6900.0,11244.0,10938.0
52570,20160728,2016,7,28,¸¶´Ã,31.129,6900.0,6900.0,10938.0,10776.0
52577,20160729,2016,7,29,¸¶´Ã,31.129,6900.0,6900.0,10776.0,10735.0
52584,20160730,2016,7,30,¸¶´Ã,26.378,6650.0,6900.0,10735.0,10610.0
52591,20160124,2016,1,24,¸¶´Ã,35.865,7550.0,7500.0,9826.0,9826.0
52598,20160125,2016,1,25,¸¶´Ã,35.865,7550.0,7500.0,9826.0,9826.0
52605,20160126,2016,1,26,¸¶´Ã,35.865,7550.0,7550.0,9826.0,9842.0
52612,20160127,2016,1,27,¸¶´Ã,38.564,7700.0,7550.0,9842.0,9842.0
52614,20160325,2016,3,25,¸¶´Ã,38.019,8150.0,8150.0,11124.0,11037.0
52621,20160326,2016,3,26,¸¶´Ã,38.019,8150.0,8150.0,11037.0,11037.0
52628,20160327,2016,3,27,¸¶´Ã,38.019,8150.0,8150.0,11037.0,11037.0
52635,20160328,2016,3,28,¸¶´Ã,38.019,8150.0,8150.0,11037.0,11037.0
52641,20160526,2016,5,26,¸¶´Ã,52.333,8750.0,8750.0,12248.0,12248.0
52648,20160527,2016,5,27,¸¶´Ã,52.333,8750.0,8750.0,12248.0,12305.0
52655,20160528,2016,5,28,¸¶´Ã,52.333,8750.0,8750.0,12305.0,12493.0
